hotelID,hotelName
0,逢甲
1,二毛作民宿
2,松之戀 The Pines
3,迪化街棧 Di Hua Jie Stay
4,白河蓮之家
5,小琉球好萊屋民宿
6,椰子海岸
7,Ｑ居微生活海景民宿
8,碧雲天汽車旅館迴龍館
9,吉美民宿-金城鎮民宿
10,新格旅館
11,站前小保民宿(原我行我宿)
12,花蓮瑞穗新鶴度假村
13,毓琇圖書山莊
14,昇財麗禧酒店
15,三隻老虎旅店 Triple Tiger Inn
16,橘園民宿
17,屏東發現號特色民宿
18,伊笛幔休閒民宿 (電梯 車位需預約)
19,浪花旅店
20,Mimiyo秘密遊民宿
21,台南艾莎公寓旅宿
22,A Life 好.生活整合國際旅宿
23,北投麗之湯溫泉會館
24,池畔綠波YES民宿
25,青禾溫泉家
26,漂鳥之棲民宿
27,菊子民宿 Gama Inn
28,馬克村莊
29,Sing Tsao Yu Chong
30,天邊海角民宿
31,秋水閣溫泉民宿
32,綠島旅人礁
33,mumu inn沐睦民宿
34,美好東河咖啡民宿
35,台糖池上牧野渡假村
36,花蓮 綠Inn民宿
37,飛鳳園農場/烤肉/民宿/露營區
38,格瀾伍德休閒民宿
39,貝多芬快捷旅店 BEETHOVEN EXPRESS HOTEL
40,美濃雲山居民宿
41,台東池上福吉園民宿
42,門草行旅The Door Inn
43,天長地久民宿
44,大漁日和 Taiori
45,馥嘉商務旅館
46,藍海星辰
47,舒漫活海景旅宿
48,EG Hostel
49,齊亞風情民宿
50,億載溫馨曉屋
51,望安民宿•友全宅
52,麗尊酒店 The Lees Hotel
53,嵐翎白砂渡假莊園 SKYEBAY CLUB
54,Dive Buddy 自由潛水工作室&背包客棧
55,台南汽車旅館:富士都商務汽車會館
56,達龍商旅
57,TaidongHanYuan
58,金戰民宿
59,墾丁貝殼小棧民宿
60,育薦關山民宿
61,嘎嘎Home民宿
62,三仙台比西里岸營地/渡假小木屋
63,華星旅社
64,小雨蛙有機生態農場
65,愛屋閣 Love House
66,澎澎屋渡假民宿
67,優勝美地汽車旅館
68,綠園地金典民宿
69,國境之北民宿
70,金山美人山民宿 Beauty Mountain Homestay(B&B)
71,碧港良居-The Harbour
72,逸仙溫泉旅店
73,頭城農場
74,山外山民宿
75,愛丁堡精品旅店
76,一間老屋攝影棚
77,墾丁皇佳旅店
78,G9 Stay
79,舒美行旅
80,IN99精品旅館
81,艾哇民宿
82,中國城茶藝民宿
83,家家嵐玥民宿（僅此一家 別無分店）
84,峰林山莊
85,意芙旅店
86,薇米文旅
87,南庄 麥克尼景觀莊園magnni villa《親子旅遊．寵物友善．兒童沙坑．遊樂區．寵物戲水池·千坪草地·苗栗民宿》
88,上陞商務大飯店
89,候鳥民宿
90,雨後的彩虹包棟民宿
91,CHECK inn 雀客旅館台中自由
92,花蓮瀧愛來民宿
93,金肯民宿
94,台北富信大飯店二館
95,東門旅店
96,馬悠驛館
97,六本木MOTEL(大連館)
98,浮雲遊咫
99,畫公寓
100,澄清湖水漾會館
101,歐遊國際連鎖精品旅館-花蓮館
102,榮宮大飯店
103,江澤休閒民宿
104,碧山廬禪的民宿
105,樂趣渡假民宿
106,H.m. ホテル
107,福容大飯店 桃園機場捷運A8店
108,雙星大飯店
109,古堡民宿 - 可包棟/可麻將/代售四草綠色隧道.十鼓門票
110,山玥新館
111,小迷鹿 • 艾米會館 Emilia Villa
112,觀景山莊
113,享自在生態園區
114,星晟棧渡假飯店
115,李家莊
116,Queen's Hotel
117,真王子大旅社
118,櫻宿溫泉會館
119,堤邊驛站
120,波士頓港飯店
121,南庄星宿庭園咖啡民宿
122,花蓮鳳林 鳳凰花園別墅
123,皇賓背包客青年旅館
124,宜舍單人旅店 (Ease Single Inn)
125,ENISHI RESORT VILLA緣民宿
126,松竹梅休閒渡假民宿
127,桃李河畔
128,華南商旅
129,亞馨民宿(Yes Home B&B)
130,台南宿曦 Suxi House
131,Chang Hong Homestay
132,常客商務旅館
133,池畔驛站
134,筑高亦朗(民宿)
135,Tao Garden Hotel 桃花園飯店
136,凡登東棧商務旅店 Vendome East Inn
137,Lisinty Resort
138,東石漁人碼頭愛琴海藝宿文旅
139,好彩頭汽車旅館
140,鼎川大飯店
141,蘭嶼 古魯民宿
142,金城好來屋-優質住宿
143,Green Island Xiangding B&B
144,法札納鄉村民宿
145,蛋行道旅宿
146,建國大旅社
147,桃園 191 hotel 商務旅店
148,晴風居民宿
149,承億文旅 - 淡水吹風
150,嘉義行藝文旅
151,遇見奇蹟鄉村民宿-宜蘭伯朗大道 冬山河附近民宿 宜蘭民宿推薦 鄉村風民宿 童玩節 特色住宿比價
152,月橘 Villa
153,東港海灣精品民宿
154,頭社民宿
155,Spa密碼商旅
156,台北大安會館(長租)
157,羅東小築親子民宿/宜蘭親子民宿/宜蘭包棟民宿/羅東親子民宿/冬山親子民宿/宜蘭溜滑梯民宿/宜蘭親子民宿推薦
158,華大商旅
159,欣欣時尚旅店 Shinshin Hotel
160,最愛商旅
161,東籬房民宿
162,宜蘭礁溪東方水漾民宿-明漾館
163,台南老爺行旅 The Place Tainan
164,布袋文創HOTEL
165,360咖啡宿
166,The Loft_沐舍溫泉渡假酒店
167,晨露庄民宿
168,享玩民宿
169,水藝芳homey民宿
170,七星日出民宿
171,荷本-Pier2
172,澎湖向日葵民宿
173,Tang Villa
174,帝王大飯店
175,BlueSky Homestay
176,good garden hostel 谷園客棧
177,朗．克徠爵的風車教堂民宿
178,皇家玫瑰旅館－站前館（原玫瑰精品旅館）
179,Taroko Delight Villa
180,九叔公民宿
181,行鹿青旅 背包客棧 Deer Traveler Hostel
182,橙屋商務旅館
183,嚮往時尚旅店民宿
184,Gerar
185,盛薈飯店
186,富喜民宿二館
187,橙舍咖啡 TW COFFEE
188,伊恬民宿
189,老五民宿 OldFive B&B
190,拉拉山和風山莊/拉拉山民宿/桃園民宿/桃園住宿/拉拉山住宿/拉拉山水蜜桃/拉拉山旅遊住宿
191,天祥棧 Tianxiang Zan Apartment
192,醉愛清境浪漫會館
193,優勝美地音樂民宿
194,出門獺踏民宿 Otter footprints B&B-推薦平價唱歌烤肉包棟民宿住宿(金門)行程規劃安排旅遊諮詢服務民宿 合法特色民宿 代辦汽機車出租機場接送 附麻將廚房
195,Moshamanla Hotel摩莎曼拉精品旅館-台北車站館
196,礁溪寒沐行館
197,和和窩 台南民宿
198,墾丁禾田農場
199,金門夢享家民宿/金門民宿/金門包棟/金門旅遊/金門住宿/金門民宿推薦/金門訂房
200,22號旅店
201,探索汽車旅館-永和館
202,途中 台北 國際青年旅舍
203,幼獅大飯店
204,良友商務飯店
205,小淋竹灣故鄉民宿-2021花火節團體包棟民宿住宿(澎湖) 花火節客製化套裝行程推薦 附麻將廚房 400坪大草地 包棟烤肉民宿住宿 花火節行程日期時間
206,168motel 桃園館
207,康橋慢旅
208,朗居文旅 Hotel Lounge
209,亞締旅店
210,鳥語花香民宿
211,Sunshine Hotel
212,菊島風晴民宿
213,可青大飯店
214,台東緣羊軒渡假民宿
215,雲南十八怪景觀餐廳民宿
216,綠野鄉居民宿
217,小地方背包客民宿 PLACE Backpackers
218,愛丁堡汽車旅館
219,薇風情汽車旅館
220,綠島島川文旅
221,華宮旅舘
222,Jinshan Bay Spring Resort
223,街角十二民宿
224,新驛旅店台中車站店
225,黃家溫泉民宿/瑞穗溫泉
226,愛丁堡十六民宿
227,香富大飯店
228,名館大客棧
229,歐拉民宿/親子包棟大空間/溜滑梯
230,浮雲杉林
231,宜蘭民宿 貴妃宅
232,驛墅家水岸行館
233,墾丁尋夢園
234,覓海民宿
235,邦娜比堤咖啡館 ｜全預約制｜10/25全日已滿位
236,夜海民宿
237,OC Hostel 歐嬉客棧
